02:36:34,962 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

02:36:42,805 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583868600.0), '200.49', '201.16', '200.2', '200.99', '2105.61169');

02:36:42,937 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583868900.0), '200.99', '201.17', '200.72', '201.09', '2524.64233');

02:36:43,91 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583869200.0), '201.1', '201.28', '200.71', '201.2', '1741.95743');

02:36:43,217 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583869500.0), '201.2', '201.69', '201.15', '201.54', '2199.93082');

02:36:43,377 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583869800.0), '201.53', '202.17', '201.49', '202.0', '2077.5538');

02:36:43,517 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583870100.0), '201.99', '202.39', '201.71', '202.1', '3055.59569');

02:36:43,660 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583870400.0), '202.13', '202.56', '200.83', '201.43', '8376.15336');

02:36:43,811 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583870700.0), '201.43', '201.72', '200.84', '201.33', '2559.14269');

02:36:43,960 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583871000.0), '201.34', '202.2', '201.21', '202.2', '2145.66752');

02:36:44,101 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583871300.0), '202.19', '202.58', '201.69', '202.04', '2903.16789');

02:36:44,225 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583871600.0), '202.11', '202.42', '201.59', '202.2', '1605.76621');

02:36:44,360 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583871900.0), '202.22', '202.57', '201.94', '202.31', '2202.81165');

02:36:44,520 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583872200.0), '202.32', '202.99', '202.32', '202.73', '1021.35002');

02:36:44,681 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583872500.0), '202.74', '203.28', '202.74', '203.26', '1632.24538');

02:36:44,827 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583872800.0), '203.25', '204.01', '203.22', '203.9', '4440.83659');

02:36:44,951 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583873100.0), '203.96', '203.96', '202.53', '203.33', '4650.05904');

02:36:45,80 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583873400.0), '203.33', '203.36', '202.67', '203.15', '1084.91771');

02:36:45,249 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583873700.0), '203.1', '203.16', '202.43', '203.0', '1742.38019');

02:36:45,386 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583874000.0), '202.97', '203.05', '202.7', '203.02', '3567.63752');

02:36:45,517 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583874300.0), '203.03', '203.03', '202.58', '202.98', '1218.9443');

02:36:45,660 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583874600.0), '202.98', '203.42', '202.95', '203.07', '2067.44003');

02:36:45,820 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583874900.0), '203.07', '203.19', '202.87', '202.87', '1394.65933');

02:36:45,988 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583875200.0), '202.87', '203.5', '202.84', '203.16', '1159.9509');

02:36:46,120 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583875500.0), '203.16', '203.4', '203.1', '203.38', '507.36845');

02:36:46,280 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583875800.0), '203.38', '203.58', '203.08', '203.13', '623.13049');

02:36:46,440 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583876100.0), '203.15', '203.15', '202.43', '202.45', '782.34789');

02:36:46,600 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583876400.0), '202.49', '202.57', '201.75', '202.57', '3587.86158');

02:36:46,760 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583876700.0), '202.57', '202.77', '201.96', '201.98', '663.09322');

02:36:46,920 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583877000.0), '201.99', '202.41', '201.98', '202.26', '372.76437');

02:36:47,80 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583877300.0), '202.23', '202.63', '201.75', '202.57', '942.22192');

02:36:47,195 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583877600.0), '202.6', '203.74', '202.56', '203.18', '5258.04869');

02:36:47,320 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583877900.0), '203.2', '203.2', '202.92', '203.1', '995.18742');

02:36:47,455 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583878200.0), '203.08', '203.17', '202.6', '202.97', '1071.17607');

02:36:47,585 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583878500.0), '202.99', '203.17', '202.69', '203.1', '1455.06159');

02:36:47,705 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583878800.0), '203.04', '203.1', '202.14', '202.47', '4344.4686');

02:36:47,825 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583879100.0), '202.46', '202.71', '202.15', '202.28', '1463.89341');

02:36:47,935 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583879400.0), '202.28', '203.33', '202.09', '202.93', '2625.21255');

02:36:48,75 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583879700.0), '202.91', '203.23', '202.69', '203.09', '1468.1769');

02:36:48,200 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583880000.0), '203.12', '203.55', '202.65', '202.66', '4150.6386');

