15:12:55,10 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

15:13:01,801 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584021900.0), '135.01', '136.2', '134.0', '135.04', '22480.27197');

15:13:01,852 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584022200.0), '135.15', '136.75', '134.92', '135.93', '14937.52028');

15:13:01,902 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584022500.0), '135.87', '140.25', '135.54', '137.87', '24198.1186');

15:13:01,952 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584022800.0), '137.8', '138.88', '137.15', '138.63', '14799.128');

15:13:02,2 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584023100.0), '138.72', '139.0', '136.29', '137.99', '17491.58593');

15:13:02,57 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584023400.0), '137.99', '141.0', '137.39', '139.48', '21790.70958');

15:13:02,105 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584023700.0), '139.48', '142.97', '139.23', '141.57', '19759.68884');

15:13:02,156 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584024000.0), '141.53', '142.5', '139.85', '139.93', '27029.11495');

15:13:02,209 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584024300.0), '139.93', '141.49', '138.55', '141.25', '25624.61611');

15:13:02,261 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584024600.0), '141.24', '141.66', '139.48', '140.24', '13508.93893');

15:13:02,315 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584024900.0), '140.3', '140.49', '138.13', '139.66', '18351.53858');

15:13:02,366 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584025200.0), '139.66', '140.05', '136.35', '137.24', '10939.49136');

15:13:02,417 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584025500.0), '137.17', '139.47', '136.79', '138.72', '11999.91115');

15:13:02,466 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584025800.0), '138.72', '140.0', '138.6', '139.56', '10104.03341');

15:13:02,519 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584026100.0), '139.48', '141.53', '138.9', '140.33', '13348.56467');

15:13:02,567 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584026400.0), '140.35', '141.46', '139.41', '140.61', '11049.21885');

15:13:02,618 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584026700.0), '140.61', '140.71', '138.69', '138.78', '10713.07684');

15:13:02,664 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584027000.0), '138.85', '140.14', '138.12', '139.33', '9389.52493');

15:13:02,717 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584027300.0), '139.36', '139.68', '138.37', '139.52', '9149.21703');

15:13:02,768 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1584027600.0), '139.47', '141.47', '138.8', '141.22', '18269.14268');

